,As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I,S-II,Final,Proj
19,88.75,97.5,88.33333333333333,76.66666666666667,93.75,,55.00000000000001,90.0,85.0,95.0,90.0,0.0,83.33333333333334,,65.0,80.0,63.175000000000004,
20,89.375,96.0,78.33333333333333,87.5,0.0,,40.0,95.0,65.0,60.0,60.0,85.0,58.333333333333336,,68.73333333333333,78.99999999999999,50.449999999999996,
21,74.375,52.5,40.833333333333336,0.0,50.0,,0.0,10.0,55.00000000000001,75.0,30.0,20.0,0.0,,20.0,10.0,18.625,
22,65.625,87.0,73.33333333333333,92.5,0.0,,15.0,70.0,65.0,15.0,25.0,80.0,54.166666666666664,,26.200000000000003,38.0,32.725,
23,39.375,76.0,0.0,78.33333333333333,62.5,,70.0,100.0,65.0,75.0,40.0,10.0,79.16666666666666,,63.73333333333334,57.199999999999996,44.074999999999996,
24,41.25,79.5,0.0,61.66666666666667,92.5,,50.0,65.0,85.0,80.0,30.0,60.0,45.83333333333333,,62.46666666666666,61.199999999999996,38.625,
25,92.5,74.0,88.33333333333333,33.24999999999999,0.0,,50.0,100.0,85.0,90.0,55.00000000000001,75.0,54.166666666666664,,66.2,56.00000000000001,35.225,
26,78.75,72.0,94.58333333333333,75.0,80.0,,60.0,80.0,65.0,50.0,45.0,90.0,70.83333333333334,,60.0,33.93333333333333,48.85,
27,75.625,54.0,65.0,0.0,58.75,,30.0,0.0,60.0,20.0,30.0,25.0,58.333333333333336,,28.733333333333334,20.2,31.124999999999996,
28,36.25,47.0,58.91666666666667,61.66666666666667,81.875,,20.0,0.0,75.0,10.0,50.0,70.0,33.33333333333333,,22.46666666666667,16.8,13.625000000000002,
29,87.5,79.0,70.0,70.83333333333334,86.875,,35.0,90.0,50.0,70.0,65.0,60.0,58.333333333333336,,47.46666666666667,20.2,52.725,
30,76.875,0.0,84.58333333333333,58.333333333333336,81.25,,25.0,30.0,30.0,85.0,65.0,10.0,37.5,,47.46666666666667,43.0,40.449999999999996,
31,78.75,47.5,65.0,21.25,53.75,,10.0,45.0,40.0,90.0,45.0,85.0,50.0,,58.733333333333334,25.0,17.025,
32,86.875,48.5,0.0,58.333333333333336,47.5,,15.0,0.0,55.00000000000001,30.0,35.0,65.0,33.33333333333333,,22.46666666666667,8.0,10.900000000000002,
33,96.875,69.0,90.41666666666667,67.5,81.875,,15.0,35.0,85.0,30.0,45.0,40.0,41.66666666666667,,22.46666666666667,36.199999999999996,24.75,
34,43.125,83.5,81.25,0.0,67.5,,70.0,100.0,75.0,95.0,100.0,90.0,91.66666666666666,,87.46666666666665,88.0,74.3,
35,44.375,0.0,60.0,0.0,63.74999999999999,,0.0,0.0,45.0,20.0,50.0,55.00000000000001,50.0,,32.46666666666667,16.933333333333334,19.525,
36,80.0,0.0,62.5,48.333333333333336,58.75,,45.0,100.0,40.0,30.0,15.0,60.0,0.0,,30.0,10.0,27.025,
37,94.375,55.00000000000001,57.08333333333333,70.0,90.0,,35.0,100.0,90.0,90.0,55.00000000000001,0.0,25.0,,53.733333333333334,45.6,42.5,
38,42.5,53.5,87.5,0.0,87.5,,10.0,75.0,25.0,35.0,75.0,0.0,0.0,,35.0,25.0,18.85,
39,81.875,67.0,75.41666666666667,0.0,0.0,,20.0,25.0,85.0,25.0,30.0,5.0,0.0,,12.466666666666667,8.0,10.900000000000002,
40,83.75,91.0,97.5,82.5,93.75,,10.0,100.0,85.0,80.0,45.0,75.0,29.166666666666668,,67.46666666666667,65.13333333333333,50.0,
41,75.0,67.0,56.25,49.166666666666664,58.12500000000001,,35.0,65.0,55.00000000000001,75.0,5.0,10.0,37.5,,41.199999999999996,48.2,22.725,
42,70.0,68.5,48.333333333333336,0.0,37.5,,15.0,25.0,45.0,35.0,15.0,5.0,33.33333333333333,,22.46666666666667,11.600000000000001,32.95,
43,41.875,89.5,91.66666666666666,90.0,83.75,,15.0,0.0,55.00000000000001,60.0,20.0,10.0,33.33333333333333,,66.2,50.4,38.175,
44,75.0,83.0,0.0,65.0,91.25,,10.0,0.0,70.0,55.00000000000001,0.0,5.0,50.0,,36.199999999999996,33.0,22.95,
